Name,Type,Latitude,Longitude,House Brake,Robbary,Theft,Rape,Murder,Assult,Druges
Bambalapitiya,police,6.8921,79.8556,14,18,14,2,3,2,4
Borella,police,6.9149,79.8783,22,16,18,1,3,6,6
Wellawatte,police,6.8733,79.8614,22,12,22,1,0,1,8
Slave Island,police,6.9276,79.8493,18,12,12,0,3,5,2
Fort,police,6.9330,79.8456,3,6,8,1,0,3,4
Dematagoda,police,6.9304,79.8770,22,18,22,2,5,3,2
Kirullapone,police,6.8785,79.8740,26,22,8,0,0,4,1
Kotahena,police,6.9508,79.8626,18,12,26,1,2,8,4
Pettha,police,6.9366,79.8501,12,18,30,1,5,1,4
Narahenpita,police,6.8920,79.8768,18,12,10,0,3,2,5
Kollupitiya,police,6.9138,79.8491,14,12,18,1,0,3,2
Kurunduwaththa,police,6.9069,79.8639,4,5,5,0,1,1,2
Maradana,police,6.9278,79.8652,12,18,14,2,0,10,4
Modara,Police,6.9649,79.8684,22,20,22,1,5,10,5
Armour Street,Police,6.9420,79.8646,8,26,28,0,3,5,8
Maligawatta,Police,6.9343,79.8698,8,8,10,1,18,15,10
Grandpass,Police,6.9490,79.8730,18,24,38,2,18,15,8
