Name,Type,Latitude,Longitude,House Brake,Robbary,Theft,Rape,Murder,Assult,Druges
Bambalapitiya,police,6.8921,79.8556,10,14,10,1,3,1,2
Borella,police,6.9149,79.8783,18,12,14,2,3,0,1
Wellawatte,police,6.8733,79.8614,18,8,18,1,1,1,3
Slave Island,police,6.9276,79.8493,14,8,8,0,3,3,1
Fort,police,6.9330,79.8456,2,5,4,0,1,2,2
Dematagoda,police,6.9304,79.8770,18,14,14,0,5,1,4
Kirullapone,police,6.8785,79.8740,20,18,4,0,1,0,0
Kotahena,police,6.9508,79.8626,14,8,22,0,4,3,1
Pettha,police,6.9366,79.8501,8,14,22,1,8,2,1
Narahenpita,police,6.8920,79.8768,14,8,6,2,3,1,1
Kollupitiya,police,6.9138,79.8491,10,8,14,1,1,5,1
Kurunduwaththa,police,6.9069,79.8639,3,4,3,1,0,0,1
Maradana,police,6.9278,79.8652,8,14,10,0,0,2,3
Modara,Police,6.9649,79.8684,18,16,18,0,8,3,2
Armour Street,Police,6.9420,79.8646,4,20,20,1,5,2,4
Maligawatta,Police,6.9343,79.8698,5,4,6,0,16,6,5
Grandpass,Police,6.9490,79.8730,14,20,30,1,14,5,4
